[2026-04-05T19:31:30.253Z] GET http://localhost:3000/src/app/components/ui/textarea.tsx → 200 (4ms, 4616B)
[2026-04-05T19:31:30.253Z] GET http://localhost:3000/src/app/components/ui/input.tsx → 200 (4ms, 5112B)
[2026-04-05T19:31:30.253Z] GET http://localhost:3000/src/app/components/CalendarView.tsx → 200 (4ms, 39756B)
[2026-04-05T19:31:30.253Z] GET http://localhost:3000/src/types/health.ts → 200 (7ms, 6430B)
[2026-04-05T19:31:30.253Z] GET http://localhost:3000/src/hooks/useRecords.ts → 200 (7ms, 22273B)
[2026-04-05T19:31:30.253Z] GET http://localhost:3000/src/hooks/useCollection.ts → 200 (7ms, 15787B)
[2026-04-05T19:31:30.253Z] GET http://localhost:3000/src/features/doctor/components/DoctorCalendarView.tsx → 200 (7ms, 44844B)
[2026-04-05T19:31:30.253Z] GET http://localhost:3000/src/hooks/useAccess.ts → 200 (10ms, 19377B)
[2026-04-05T19:31:30.253Z] GET http://localhost:3000/node_modules/.vite/deps/@noble_hashes_hkdf.js?v=3d514953 → 200 (12ms, 1540B)
[2026-04-05T19:31:30.253Z] GET http://localhost:3000/node_modules/.vite/deps/@noble_hashes_sha256.js?v=3d514953 → 200 (13ms, 581B)
[2026-04-05T19:31:30.253Z] GET http://localhost:3000/node_modules/.vite/deps/@noble_hashes_sha3.js?v=3d514953 → 200 (13ms, 6407B)
[2026-04-05T19:31:30.253Z] GET http://localhost:3000/node_modules/.vite/deps/idb.js?v=3d514953 → 200 (13ms, 8126B)
[2026-04-05T19:31:30.253Z] GET http://localhost:3000/node_modules/.vite/deps/chunk-2ACD7LEZ.js?v=3d514953 → 200 (13ms, 7135B)
[2026-04-05T19:31:30.256Z] GET http://localhost:3000/node_modules/.vite/deps/chunk-JEYRWWUG.js?v=3d514953 → 200 (10ms, 16562B)
[2026-04-05T19:31:30.256Z] GET http://localhost:3000/node_modules/.vite/deps/chunk-T4SFHOTP.js?v=3d514953 → 200 (10ms, 2130B)
[2026-04-05T19:31:30.256Z] GET http://localhost:3000/node_modules/.vite/deps/chunk-IPGOKTIV.js?v=3d514953 → 200 (10ms, 1907B)
[2026-04-05T19:31:30.260Z] GET http://localhost:3000/node_modules/.vite/deps/@radix-ui_react-slot.js?v=3d514953 → 200 (6ms, 5053B)
[2026-04-05T19:31:30.260Z] GET http://localhost:3000/node_modules/.vite/deps/class-variance-authority.js?v=3d514953 → 200 (6ms, 2345B)
[2026-04-05T19:31:30.260Z] GET http://localhost:3000/src/app/components/ui/utils.ts → 200 (6ms, 754B)
[2026-04-05T19:31:30.260Z] GET http://localhost:3000/node_modules/.vite/deps/@radix-ui_react-dialog.js?v=3d514953 → 200 (10ms, 84500B)
[2026-04-05T19:31:30.260Z] GET http://localhost:3000/src/hooks/useContract.ts → 200 (6ms, 2375B)
[2026-04-05T19:31:30.260Z] GET http://localhost:3000/src/services/collection.ts → 200 (6ms, 13957B)
[2026-04-05T19:31:30.260Z] GET http://localhost:3000/src/services/ipfs.ts → 200 (7ms, 12622B)
[2026-04-05T19:31:30.270Z] GET http://localhost:3000/node_modules/.vite/deps/clsx.js?v=3d514953 → 200 (15ms, 239B)
[2026-04-05T19:31:30.270Z] GET http://localhost:3000/node_modules/.vite/deps/tailwind-merge.js?v=3d514953 → 200 (30ms, 72653B)
[2026-04-05T19:31:30.270Z] GET http://localhost:3000/node_modules/.vite/deps/chunk-JDYSANEB.js?v=3d514953 → 200 (15ms, 1209B)
[2026-04-05T19:31:30.270Z] GET http://localhost:3000/node_modules/.vite/deps/chunk-U7P2NEEE.js?v=3d514953 → 200 (15ms, 626B)
[2026-04-05T19:31:30.270Z] GET http://localhost:3000/src/services/contract.ts → 200 (15ms, 35931B)
[2026-04-05T19:31:30.300Z] GET http://localhost:3000/src/contracts/HealthVault.abi.json?import → 200 (1ms, 6592B)
[2026-04-05T19:31:30.300Z] GET http://localhost:3000/src/contracts/addresses.ts → 200 (1ms, 2622B)
[2026-04-05T19:32:14.588Z] GET http://localhost:3000/patient → 200 (9ms, 628B)
[2026-04-05T19:32:14.603Z] GET http://localhost:3000/@vite/client → 200 (10ms, 137703B)
[2026-04-05T19:32:14.603Z] GET http://localhost:3000/src/main.tsx → 200 (2ms, 5389B)
[2026-04-05T19:32:14.605Z] GET http://localhost:3000/@react-refresh → 200 (14ms, 117548B)
[2026-04-05T19:32:14.612Z] GET http://localhost:3000/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=3d514953 → 200 (?ms, 37035B)
[2026-04-05T19:32:14.612Z] GET http://localhost:3000/node_modules/.vite/deps/react-dom_client.js?v=3d514953 → 200 (?ms, 1118B)
[2026-04-05T19:32:14.612Z] GET http://localhost:3000/node_modules/.vite/deps/react-router-dom.js?v=3d514953 → 200 (?ms, 42618B)
[2026-04-05T19:32:14.613Z] GET http://localhost:3000/src/providers/AppProvider.tsx → 200 (6ms, 5595B)
[2026-04-05T19:32:14.613Z] GET http://localhost:3000/src/app/context/AppContext.tsx → 200 (17ms, 35782B)
[2026-04-05T19:32:14.613Z] GET http://localhost:3000/src/pages/LandingPage.tsx → 200 (17ms, 55655B)
[2026-04-05T19:32:14.613Z] GET http://localhost:3000/src/features/patient/PatientApp.tsx → 200 (7ms, 12928B)
[2026-04-05T19:32:14.613Z] GET http://localhost:3000/src/features/doctor/DoctorApp.tsx → 200 (7ms, 10723B)
[2026-04-05T19:32:14.613Z] GET http://localhost:3000/src/styles/index.css → 200 (19ms, 148870B)
[2026-04-05T19:32:14.613Z] GET http://localhost:3000/node_modules/.vite/deps/chunk-QCHXOAYK.js?v=3d514953 → 200 (?ms, 77818B)
[2026-04-05T19:32:14.615Z] GET http://localhost:3000/node_modules/.vite/deps/chunk-WOOG5QLI.js?v=3d514953 → 200 (?ms, 2884B)
[2026-04-05T19:32:14.615Z] GET http://localhost:3000/node_modules/.vite/deps/chunk-RPCDYKBN.js?v=3d514953 → 200 (?ms, 928095B)
[2026-04-05T19:32:14.616Z] GET http://localhost:3000/node_modules/.vite/deps/chunk-INYSTG2O.js?v=3d514953 → 200 (?ms, 171959B)
[2026-04-05T19:32:14.619Z] GET http://localhost:3000/node_modules/vite/dist/client/env.mjs → 200 (11ms, 4113B)
[2026-04-05T19:32:14.631Z] GET http://localhost:3000/node_modules/.vite/deps/@tanstack_react-query.js?v=3d514953 → 200 (?ms, 130747B)
[2026-04-05T19:32:14.631Z] GET http://localhost:3000/src/providers/Web3Provider.tsx → 200 (14ms, 16074B)
[2026-04-05T19:32:14.631Z] GET http://localhost:3000/src/providers/EncryptionProvider.tsx → 200 (15ms, 15986B)
[2026-04-05T19:32:14.632Z] GET http://localhost:3000/node_modules/.vite/deps/react.js?v=3d514953 → 200 (?ms, 219B)
[2026-04-05T19:32:14.632Z] GET http://localhost:3000/src/features/patient/components/Header.tsx → 200 (14ms, 17725B)
[2026-04-05T19:32:14.632Z] GET http://localhost:3000/src/app/components/Sidebar.tsx → 200 (17ms, 7279B)
[2026-04-05T19:32:14.632Z] GET http://localhost:3000/src/app/components/Dashboard.tsx → 200 (17ms, 49059B)
[2026-04-05T19:32:14.632Z] GET http://localhost:3000/src/app/components/Appointments.tsx → 200 (17ms, 35309B)
[2026-04-05T19:32:14.632Z] GET http://localhost:3000/src/app/components/TestResults.tsx → 200 (18ms, 28297B)
[2026-04-05T19:32:14.632Z] GET http://localhost:3000/src/app/components/Medications.tsx → 200 (18ms, 33813B)
[2026-04-05T19:32:14.632Z] GET http://localhost:3000/src/app/components/Notes.tsx → 200 (19ms, 46991B)
[2026-04-05T19:32:14.632Z] GET http://localhost:3000/src/app/components/MedicalRecords.tsx → 200 (19ms, 46814B)
[2026-04-05T19:32:14.633Z] GET http://localhost:3000/src/features/doctor/components/DoctorHeader.tsx → 200 (19ms, ?B)
[2026-04-05T19:32:14.634Z] GET http://localhost:3000/src/features/doctor/components/DoctorSidebar.tsx → 200 (17ms, ?B)
[2026-04-05T19:32:14.634Z] GET http://localhost:3000/src/features/doctor/components/DoctorDashboard.tsx → 200 (19ms, ?B)
[2026-04-05T19:32:14.634Z] GET http://localhost:3000/src/features/doctor/components/Patients.tsx → 200 (19ms, ?B)
[2026-04-05T19:32:14.634Z] GET http://localhost:3000/src/features/doctor/components/Schedule.tsx → 200 (19ms, ?B)
[2026-04-05T19:32:14.634Z] GET http://localhost:3000/src/features/doctor/components/LabOrders.tsx → 200 (20ms, ?B)
[2026-04-05T19:32:14.634Z] GET http://localhost:3000/src/features/doctor/components/Prescriptions.tsx → 200 (20ms, ?B)
[2026-04-05T19:32:14.634Z] GET http://localhost:3000/src/features/doctor/components/Authorization.tsx → 200 (20ms, ?B)
[2026-04-05T19:32:14.634Z] GET http://localhost:3000/src/features/doctor/components/ClinicalNotes.tsx → 200 (33ms, ?B)
[2026-04-05T19:32:14.634Z] GET http://localhost:3000/node_modules/.vite/deps/react-router.js?v=3d514953 → 200 (?ms, 2359B)
[2026-04-05T19:32:14.635Z] GET http://localhost:3000/node_modules/.vite/deps/lucide-react.js?v=3d514953 → 200 (?ms, 1370940B)
[2026-04-05T19:32:14.635Z] GET http://localhost:3000/src/hooks/useWallet.ts → 200 (18ms, ?B)
[2026-04-05T19:32:14.635Z] GET http://localhost:3000/node_modules/.vite/deps/chunk-KBTYAULA.js?v=3d514953 → 200 (?ms, 37368B)
[2026-04-05T19:32:14.645Z] GET http://localhost:3000/node_modules/.vite/deps/ethers.js?v=3d514953 → 200 (?ms, 833823B)
[2026-04-05T19:32:14.646Z] GET http://localhost:3000/src/services/encryption.ts → 200 (8ms, ?B)
[2026-04-05T19:32:14.646Z] GET http://localhost:3000/src/services/keystore.ts → 200 (8ms, ?B)
[2026-04-05T19:32:14.646Z] GET http://localhost:3000/node_modules/.vite/deps/@noble_curves_secp256k1.js?v=3d514953 → 200 (?ms, 74579B)
[2026-04-05T19:32:14.646Z] GET http://localhost:3000/node_modules/.vite/deps/@noble_hashes_utils.js?v=3d514953 → 200 (?ms, 1159B)
